IDSubtitle	MovieName	MovieYear	LanguageName	ISO639	SubAddDate	ImdbID	SubFormat	SubSumCD	MovieReleaseName	MovieFPS	SeriesSeason	SeriesEpisode	SeriesIMDBParent	MovieKind	URL
6700834	"Hannibal" Amuse-Bouche	2013	Greek	el	2016-08-03 00:11:16	2373027	srt	1	 Hannibal.S02E01.HDTV. x264-LOL	23.976	1	2	2243973	tv	http://www.opensubtitles.org/subtitles/6700834/hannibal-amuse-bouche-el
6700835	"Nazi Mega Weapons" Blitzkrieg	2016	Swedish	sv	2016-08-03 00:13:49	5785566	srt	1	 Nazi Mega Weapons S03E03 HDTV x264 [StB]	25.000	3	3	3325692	tv	http://www.opensubtitles.org/subtitles/6700835/nazi-mega-weapons-blitzkrieg-sv
6700836	Remember	2015	Bulgarian	bg	2016-08-03 00:14:15	3704050	srt	1	 Remember.E01.151209.HDTV.H264.720p-LIMO	29.970	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700836/remember-bg
6700837	"Devious Maids" Much Ado About Buffing	2016	Romanian	ro	2016-08-03 00:14:59	5058604	srt	1	 Devious.Maids.S04E09.720p.HDTV.x264-FZHD	23.976	4	9	2226342	tv	http://www.opensubtitles.org/subtitles/6700837/devious-maids-much-ado-about-buffing-ro
6700838	"The Knick" You're No Rose	2015	Serbian	sr	2016-08-03 00:15:41	3923556	srt	1	 2x02 - You're No Rose	23.976	2	2	2937900	tv	http://www.opensubtitles.org/subtitles/6700838/the-knick-you-re-no-rose-sr
6700839	"Smallville" Hourglass	2001	Turkish	tr	2016-08-03 00:20:21	702965	srt	1	 Smallville - S01E06 - Hourglass - DnO	23.976	1	6	279600	tv	http://www.opensubtitles.org/subtitles/6700839/smallville-hourglass-tr
6700840	"The Big Bang Theory" The Itchy Brain Simulation	2013	Spanish	es	2016-08-03 00:22:32	3303726	srt	1	 The.Big.Bang.Theory.S07E08.720p.HDTV.x264-maximersk	23.976	7	8	898266	tv	http://www.opensubtitles.org/subtitles/6700840/the-big-bang-theory-the-itchy-brain-simulation-es
6700841	The Legend of Tarzan	2016	French	fr	2016-08-03 00:23:03	918940	srt	1	The Legend of Tarzan 2016 HD-TS x264-CPG.mkv	0.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700841/the-legend-of-tarzan-fr
6700842	"Outcasts" Episode #1.8	2011	Slovenian	sl	2016-08-03 00:24:49	1712434	srt	1	 Outcast.S01E08.HDTV.x264-KILLERS	23.976	1	8	1697793	tv	http://www.opensubtitles.org/subtitles/6700842/outcasts-episode-1-8-sl
6700843	"The Originals" Beautiful Mistake	2015	Arabic	ar	2016-08-03 00:27:47	4844484	srt	1	 The.Originals.S03E06.WEB-DL.NOTAG	23.976	3	6	2632424	tv	http://www.opensubtitles.org/subtitles/6700843/the-originals-beautiful-mistake-ar
6700844	"Bones" The Strike in the Chord	2016	Arabic	ar	2016-08-03 00:28:31	5376902	srt	1	 Bones.S11E16.720p.HDTV.X264-DIMENSION	23.976	11	16	460627	tv	http://www.opensubtitles.org/subtitles/6700844/bones-the-strike-in-the-chord-ar
6700845	The Huntsman: Winter's War	2016	Portuguese (BR)	pb	2016-08-03 00:28:38	2381991	srt	1	The Huntsman: Winter's War (2016)	0.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700845/the-huntsman-winter-s-war-pb
6700846	The Nice Guys	2016	Hungarian	hu	2016-08-03 00:33:03	3799694	srt	1	The.Nice.Guys.2016.1080p.WEB-DL.AAC2.0.H264-FGT	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700846/the-nice-guys-hu
6700847	"Mistresses" Episode #4.7	2016	English	en	2016-08-03 00:34:43	5058556	srt	1	Mistresses (US) - 04x07 - KILLERS	23.976	4	7	2295809	tv	http://www.opensubtitles.org/subtitles/6700847/mistresses-episode-4-7-en
6700848	"Mistresses" Episode #4.7	2016	English	en	2016-08-03 00:35:00	5058556	srt	1	Mistresses (US) - 04x07 - KILLERS	23.976	4	7	2295809	tv	http://www.opensubtitles.org/subtitles/6700848/mistresses-episode-4-7-en
6700849	"Penny Dreadful" A Blade of Grass	2016	Czech	cs	2016-08-03 00:36:05	4849368	srt	1	 Penny-Dreadful-S03E04(0000273240)	25.000	3	4	2628232	tv	http://www.opensubtitles.org/subtitles/6700849/penny-dreadful-a-blade-of-grass-cs
6700850	"Andromeda" The Shards of Rimni	2002	Turkish	tr	2016-08-03 00:37:17	512290	srt	1	 Andromeda 302 The Shards Of Rimni	25.000	3	2	213327	tv	http://www.opensubtitles.org/subtitles/6700850/andromeda-the-shards-of-rimni-tr
6700851	Cowboy Bebop	1998	Bulgarian	bg	2016-08-03 00:38:02	213338	srt	1	 [KAA]_Cowboy_Bebop_24.DVD_[784BB3BF]	23.976	0	0	0	tv	http://www.opensubtitles.org/subtitles/6700851/cowboy-bebop-bg
6700852	Eagle Eye	2008	Swedish	sv	2016-08-03 00:41:54	1059786	srt	1	 Eagle.Eye[2008]DvDrip-aXXo	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700852/eagle-eye-sv
6700853	"Rush Hour" Knock, Knock... House Creeping!	2016	Bulgarian	bg	2016-08-03 00:43:41	5602022	srt	1	rush.hour.2016.110.hdtv-lol	23.976	1	10	4085584	tv	http://www.opensubtitles.org/subtitles/6700853/rush-hour-knock-knock-house-creeping-bg
6700854	Comoara	2015	Portuguese (BR)	pb	2016-08-03 00:44:14	4515684	srt	1	comoara.2015.720p.hdtv.x264-gbl	25.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700854/comoara-pb
6700855	"Gomorra - La serie" Lacrime e sangue	2016	Croatian	hr	2016-08-03 00:44:27	5710598	srt	1	 S02E02 - Lacrime e sangue	0.000	2	2	2049116	tv	http://www.opensubtitles.org/subtitles/6700855/gomorra-la-serie-lacrime-e-sangue-hr
6700856	Lone Wolf and Cub: Baby Cart to Hades	1972	French	fr	2016-08-03 00:46:26	68817	srt	1	Lone.Wolf.and.Cub.-.Baby.Cart.to.Hades.1972.720p.BluRay.AVC.RERIP-mfcorrea	0.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700856/lone-wolf-and-cub-baby-cart-to-hades-fr
6700857	"Guilt" Episode #1.5	2016	Bosnian	bs	2016-08-03 00:47:04	5776318	srt	1	 Guilt.S01E05.HDTV.x264-FLEET	23.976	1	5	5376862	tv	http://www.opensubtitles.org/subtitles/6700857/guilt-episode-1-5-bs
6700858	Evangerion shin gekijoban: Ha	2009	Romanian	ro	2016-08-03 00:52:05	860906	srt	1	 Evangelion.2.0.You.Can.Not.Advance.2009.1080p.BluRay.x264-SADPANDA	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700858/evangerion-shin-gekijoban-ha-ro
6700859	"Star Trek" This Side of Paradise	1967	Croatian	hr	2016-08-03 00:55:07	708483	srt	1	 Star.Trek.TOS.S01E24.This.Side.of.Paradise.720p.BrRip.x264-[MULVAcoded]	23.976	1	24	60028	tv	http://www.opensubtitles.org/subtitles/6700859/star-trek-this-side-of-paradise-hr
6700860	Marlowe	1969	English	en	2016-08-03 00:57:16	64638	srt	1	 Marlowe (1969) DVDRip	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700860/marlowe-en
6700861	Dakteoseu	2016	Hungarian	hu	2016-08-03 00:58:46	5764332	srt	1	 Doctors.E12.160726.HDTV.H264.540p-FMS	29.970	0	0	0	tv	http://www.opensubtitles.org/subtitles/6700861/dakteoseu-hu
6700862	The Legend of Tarzan	2016	Romanian	ro	2016-08-03 01:00:03	918940	srt	1	 The.Legend.of.Tarzan.2016.720p.HC.HDRip.X264.AC3-xHD	24.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700862/the-legend-of-tarzan-ro
6700863	"The Big Bang Theory" The Discovery Dissipation	2013	Spanish	es	2016-08-03 01:01:47	3338358	srt	1	 The.Big.Bang.Theory.S07E10.720p.HDTV.x264-maximersk	25.000	7	10	898266	tv	http://www.opensubtitles.org/subtitles/6700863/the-big-bang-theory-the-discovery-dissipation-es
6700864	The Huntsman: Winter's War	2016	Slovak	sk	2016-08-03 01:07:13	2381991	srt	1	 The Huntsman Winters War 2016 EXTENDED 1080p BluRay x264 DTS-JYK	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700864/the-huntsman-winter-s-war-sk
6700865	"UnREAL" Ambush	2016	Polish	pl	2016-08-03 01:08:27	4836164	sub	1	 UnREAL.S02E07.HDTV.x264-FLEET	0.000	2	7	3314218	tv	http://www.opensubtitles.org/subtitles/6700865/unreal-ambush-pl
6700866	"The Originals" Chasing the Devil's Tail	2014	Arabic	ar	2016-08-03 01:09:23	3787870	srt	1	 The.Originals.S03E07.WEB-DL.NOTAG	23.976	2	7	2632424	tv	http://www.opensubtitles.org/subtitles/6700866/the-originals-chasing-the-devil-s-tail-ar
6700867	"Mr. Robot" eps2.2_init1.asec	2016	Romanian	ro	2016-08-03 01:09:41	5344766	srt	1	 Mr.Robot.S02E04.720p.HDTV.x264-AVS	23.976	2	4	4158110	tv	http://www.opensubtitles.org/subtitles/6700867/mr-robot-eps2-2-init1-asec-ro
6700868	"Preacher" Call and Response	2016	Swedish	sv	2016-08-03 01:15:16	5236142	srt	1	 Preacher.S01E10.1080p.WEB-DL.DD5.1.H.264-dbR	0.000	1	10	5016504	tv	http://www.opensubtitles.org/subtitles/6700868/preacher-call-and-response-sv
6700869	"The Living and the Dead" Episode #1.5	2016	Greek	el	2016-08-03 01:16:35	5442572	srt	1	 The.Living.And.The.Dead.S01E05.HDTV.x264-ORGANiC[ettv]	0.000	1	5	4928166	tv	http://www.opensubtitles.org/subtitles/6700869/the-living-and-the-dead-episode-1-5-el
6700870	"Andromeda" Mad to Be Saved	2002	Turkish	tr	2016-08-03 01:17:32	512254	srt	1	 Andromeda 303 Mad To Be Saved	25.000	3	3	213327	tv	http://www.opensubtitles.org/subtitles/6700870/andromeda-mad-to-be-saved-tr
6700871	"Arrow" Unchained	2016	German	de	2016-08-03 01:20:30	4862538	srt	1	 Arrow.S04E12.LostFilm	23.976	4	12	2193021	tv	http://www.opensubtitles.org/subtitles/6700871/arrow-unchained-de
6700872	"Bones" The Secret in the Soil	2007	Arabic	ar	2016-08-03 01:20:52	1119865	srt	1	 Bones Season 03 Episode 04 - The Secret in the Soil	23.976	3	4	460627	tv	http://www.opensubtitles.org/subtitles/6700872/bones-the-secret-in-the-soil-ar
6700873	"El ministerio del tiempo" Tiempo de Gloria	2015	Romanian	ro	2016-08-03 01:22:40	4385514	srt	1	 EMDTi102 [www.newpct1.com]-rum(1)	25.000	1	2	4136774	tv	http://www.opensubtitles.org/subtitles/6700873/el-ministerio-del-tiempo-tiempo-de-gloria-ro
6700874	"The Night Of" The Beach	2016	Romanian	ro	2016-08-03 01:23:49	3221734	srt	1	 The.Night.Of.S01E01.720p.HDTV.x264-BATV	23.976	1	1	2401256	tv	http://www.opensubtitles.org/subtitles/6700874/the-night-of-the-beach-ro
6700875	Maze Runner: The Scorch Trials	2015	Romanian	ro	2016-08-03 01:24:01	4046784	srt	1	 Maze.Runner.The.Scorch.Trials.2015.720p-1080p.BluRay.x264-SPARKS	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700875/maze-runner-the-scorch-trials-ro
6700876	"From Dusk Till Dawn: The Series" Santa Sangre	2015	Turkish	tr	2016-08-03 01:24:25	4764730	srt	1	 From.Dusk.Till.Dawn.The.Series.S02E10.INTERNAL.XviD-FUM	23.976	2	10	3337194	tv	http://www.opensubtitles.org/subtitles/6700876/from-dusk-till-dawn-the-series-santa-sangre-tr
6700877	Before I Wake	2016	Serbian	sr	2016-08-03 01:24:50	3174376	srt	1	 Before I Wake 2016 hrt	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700877/before-i-wake-sr
6700878	Explorers	1985	Romanian	ro	2016-08-03 01:24:51	89114	sub	1	 Explorers.1985.MULTI.x264.720p.AUD[EN-FR].SUB[EN].Ephy	25.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700878/explorers-ro
6700879	Frauensee	2012	Serbian	sr	2016-08-03 01:28:18	2332629	srt	1	 Womans.Lake.[Frauensee].2012.DVDRip.x264.AC3.HORiZON-ArtSubs	25.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700879/frauensee-sr
6700880	"The Girlfriend Experience" A Friend	2016	Romanian	ro	2016-08-03 01:28:24	4534746	srt	1	 Girlfriend.Experience.S01E02.720p.WEB-DL.H.264.AAC.2.0-FOCUS	23.976	1	2	3846642	tv	http://www.opensubtitles.org/subtitles/6700880/the-girlfriend-experience-a-friend-ro
6700881	"Stranger Things" Chapter Five: The Flea and the Acrobat	2016	Hebrew	he	2016-08-03 01:31:34	4593128	srt	1	 Stranger.Things.S01E05.XviD-AFG	23.976	1	5	4574334	tv	http://www.opensubtitles.org/subtitles/6700881/stranger-things-chapter-five-the-flea-and-the-acrobat-he
6700882	Mexico Barbaro	2014	Portuguese (BR)	pb	2016-08-03 01:31:45	3363888	srt	1	Mexico.Barbaro.2014.HDrip.XviD.Latino.SBT	0.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700882/mexico-barbaro-pb
6700883	"Battlestar Galactica" Dirty Hands	2007	Arabic	ar	2016-08-03 01:37:02	947106	srt	1	 BSG.S03E16.Dirty.Hands.720p.Brrip + C	25.000	3	16	407362	tv	http://www.opensubtitles.org/subtitles/6700883/battlestar-galactica-dirty-hands-ar
6700884	"The Kettering Incident" The Forest	2016	English	en	2016-08-03 01:38:49	4233190	srt	1	the.kettering.incident.s01e05.720p.ahdtv.x264-futv	25.000	1	5	4228802	tv	http://www.opensubtitles.org/subtitles/6700884/the-kettering-incident-the-forest-en
6700885	"The Knick" The Best with the Best to Get the Best	2015	Serbian	sr	2016-08-03 01:41:04	3923562	srt	1	 2x03 - The Best with the Best to Get the Best	23.976	2	3	2937900	tv	http://www.opensubtitles.org/subtitles/6700885/the-knick-the-best-with-the-best-to-get-the-best-sr
6700886	"Arangsaddojeon" Episode #1.13	2012	Arabic	ar	2016-08-03 01:42:13	3247418	srt	1	 Arang.and.the.Magistrate.E13	29.970	1	13	2216600	tv	http://www.opensubtitles.org/subtitles/6700886/arangsaddojeon-episode-1-13-ar
6700887	"The Big Bang Theory" The Hesitation Ramification	2014	Spanish	es	2016-08-03 01:45:11	3337728	srt	1	 The.Big.Bang.Theory.S07E12.720p.HDTV.x264-maximersk	25.000	7	12	898266	tv	http://www.opensubtitles.org/subtitles/6700887/the-big-bang-theory-the-hesitation-ramification-es
6700888	"The Mentalist" Little Red Book	2011	Arabic	ar	2016-08-03 01:47:28	2008368	srt	1	 The.Mentalist.S04E02.Little.Red.Book.720p.WEB-DL.DD5.1.H.264-KiNGS	23.976	4	2	1196946	tv	http://www.opensubtitles.org/subtitles/6700888/the-mentalist-little-red-book-ar
6700889	"Dark Matter" We Voted Not to Space You	2016	Portuguese (BR)	pb	2016-08-03 01:52:44	5574158	srt	1	HDTV.x264-FLEET-720p.FLEET	23.976	2	5	4159076	tv	http://www.opensubtitles.org/subtitles/6700889/dark-matter-we-voted-not-to-space-you-pb
6700890	Diplomatie	2014	Portuguese (BR)	pb	2016-08-03 01:53:04	3129564	srt	1	Diplomatie	0.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700890/diplomatie-pb
6700891	Sangue del mio sangue	2015	Spanish	es	2016-08-03 01:53:42	2922590	srt	1	Sangue.Del.Mio.Sangue.2015.iTA.AC3.5.1.FullHD.m1080p.x264	0.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700891/sangue-del-mio-sangue-es
6700893	"Dark Matter" We Voted Not to Space You	2016	Portuguese (BR)	pb	2016-08-03 01:56:01	5574158	srt	1	WEB-DL.x264-RARBG-720p-1080p.RARBG	23.976	2	5	4159076	tv	http://www.opensubtitles.org/subtitles/6700893/dark-matter-we-voted-not-to-space-you-pb
6700894	"Ray Donovan" Get Even Before Leavin'	2016	Bulgarian	bg	2016-08-03 02:00:43	5346994	srt	1	 Ray Donovan - 04x05 - Get Even Before Leavin'.FLEET.Bulgarian.orig.Addic7ed.com	23.976	4	5	2249007	tv	http://www.opensubtitles.org/subtitles/6700894/ray-donovan-get-even-before-leavin-bg
6700895	7 Assassins	2013	Romanian	ro	2016-08-03 02:01:38	3552642	srt	1	 7.Assassins.2013.DVDRip.x264.AC3-iFT	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700895/7-assassins-ro
6700896	High-Rise	2015	Croatian	hr	2016-08-03 02:03:59	462335	srt	1	 High-Rise.2015.720p.WEBRip.x264.AAC-ETRG	24.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700896/high-rise-hr
6700897	"Scream: The TV Series" The Orphanage	2016	Arabic	ar	2016-08-03 02:08:14	5706660	srt	1	 Scream.The.TV.Series.S02E09.720p.HDTV.x264-FLEET	23.976	2	9	3921180	tv	http://www.opensubtitles.org/subtitles/6700897/scream-the-tv-series-the-orphanage-ar
6700898	My Big Fat Greek Wedding 2	2016	Polish	pl	2016-08-03 02:09:48	3760922	srt	1	My.Big.Fat.Greek.Weddding.2.2016.720p.BRRip.x264.AAC-ETRG	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700898/my-big-fat-greek-wedding-2-pl
6700899	"Doctor Who" Nightmare in Silver	2013	Arabic	ar	2016-08-03 02:10:55	2267338	srt	1	 Doctor Who 2005 S07 E12 720p BluRay x264 CPUL	25.000	7	13	436992	tv	http://www.opensubtitles.org/subtitles/6700899/doctor-who-nightmare-in-silver-ar
6700901	"Girls" I Love You Baby	2016	Hungarian	hu	2016-08-03 02:14:47	4355376	srt	1	 Girls.S05E10.720p.HDTV.x264-KILLERS	23.976	5	10	1723816	tv	http://www.opensubtitles.org/subtitles/6700901/girls-i-love-you-baby-hu
6700902	Grindhouse	2007	Croatian	hr	2016-08-03 02:22:22	462322	srt	1	 Death.Proof[2007][Unrated.Editon]DvDrip[Eng]-aXXo	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700902/grindhouse-hr
6700903	"Section zero" Soldats de l'ombre	2016	Portuguese (BR)	pb	2016-08-03 02:26:32	5612180	srt	1	Section.Zero.S01E04.FRENCH.720p.HDTV.x264-LiBERTY	0.000	1	4	5606776	tv	http://www.opensubtitles.org/subtitles/6700903/section-zero-soldats-de-l-ombre-pb
6700904	"The Big Bang Theory" The Convention Conundrum	2014	Spanish	es	2016-08-03 02:26:33	3453320	srt	1	 The.Big.Bang.Theory.S07E14.720p.HDTV.x264-maximersk	25.000	7	14	898266	tv	http://www.opensubtitles.org/subtitles/6700904/the-big-bang-theory-the-convention-conundrum-es
6700905	Notias	2016	English	en	2016-08-03 02:26:33	4669210	srt	1	Notias.2016.1080p.BluRay.DTS.x264-LiME	24.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700905/notias-en
6700906	"Wentworth" The Things We Do	2013	Croatian	hr	2016-08-03 02:26:42	2525526	srt	1	 wentworth s01e04-srp	25.000	1	4	2433738	tv	http://www.opensubtitles.org/subtitles/6700906/wentworth-the-things-we-do-hr
6700907	Notias	2016	English	en	2016-08-03 02:28:04	4669210	srt	1	Notias 2016 DVDRip	25.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700907/notias-en
6700908	"Ray Donovan" Fish and Bird	2016	Polish	pl	2016-08-03 02:29:30	5346998	mpl	1	 Ray.Donovan.S04E06.WEBRip.x264-FUM[ettv]	0.000	4	6	2249007	tv	http://www.opensubtitles.org/subtitles/6700908/ray-donovan-fish-and-bird-pl
6700909	"Section zero" Entre les Vivants et Les Morts	2016	Portuguese (BR)	pb	2016-08-03 02:29:59	5612188	srt	1	[ www.CpasBien.cm ] Section.Zero.S01E05.FRENCH.WEBRiP.XviD-ZT	0.000	1	5	5606776	tv	http://www.opensubtitles.org/subtitles/6700909/section-zero-entre-les-vivants-et-les-morts-pb
6700910	Star Trek Into Darkness	2013	Dutch	nl	2016-08-03 02:31:02	1408101	srt	1	Star Trek Into Darkness (2013) DVDRip XviD-MAXSPEED	0.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700910/star-trek-into-darkness-nl
6700911	The Legend of Tarzan	2016	English	en	2016-08-03 02:41:29	918940	srt	1	The.Legend.of.Tarzan.2016.HC.HDRip.XviD.AC3-EVO	0.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700911/the-legend-of-tarzan-en
6700912	"Vice Principals" The Field Trip	2016	Serbian	sr	2016-08-03 02:47:31	4415458	srt	1	 Vice Principals 1x03	23.976	1	3	3766376	tv	http://www.opensubtitles.org/subtitles/6700912/vice-principals-the-field-trip-sr
6700913	Hungama	2003	Romanian	ro	2016-08-03 02:48:45	371735	srt	1	 Hungama 2003 Hindi 720p DvDRip CharmeLeon Silver RG	29.970	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700913/hungama-ro
6700914	"Gran Hotel" El aniversario	2012	Greek	el	2016-08-03 02:57:07	2504900	srt	1	 gran-hotel-s02e06-el-aniversario-hdtv-esp-sc	25.000	2	6	2006421	tv	http://www.opensubtitles.org/subtitles/6700914/gran-hotel-el-aniversario-el
6700915	Scanners	1981	Greek	el	2016-08-03 02:58:09	81455	srt	1	 scanners-1981-1080p-criterion-collection-bluray-lpcm-1-0-x264-dirtyburger	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700915/scanners-el
6700916	Geunyeoui shinhwa	2013	Romanian	ro	2016-08-03 03:00:01	3246416	srt	1	 Her.Legend.E01.130805.HDTV.XViD-iPOP	29.970	0	0	0	tv	http://www.opensubtitles.org/subtitles/6700916/geunyeoui-shinhwa-ro
6700917	"The Knick" Wonderful Surprises	2015	Serbian	sr	2016-08-03 03:06:00	3923568	srt	1	 2x04 - Wonderful Surprises	23.976	2	4	2937900	tv	http://www.opensubtitles.org/subtitles/6700917/the-knick-wonderful-surprises-sr
6700918	Enough	2002	Romanian	ro	2016-08-03 03:12:21	278435	srt	1	 enough.2002-1080p-squeak	0.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700918/enough-ro
6700919	"Battlestar Galactica" Maelstrom	2007	Arabic	ar	2016-08-03 03:34:35	944309	srt	1	 BSG.S03E17.Maelstrom.720p.Brrip + C	23.976	3	17	407362	tv	http://www.opensubtitles.org/subtitles/6700919/battlestar-galactica-maelstrom-ar
6700920	"Greenleaf" The Whole Book	2016	Portuguese (BR)	pb	2016-08-03 03:35:26	4981124	srt	1	 Greenleaf.S01E08.HDTV.x264-CRiMSON	23.976	1	8	4971144	tv	http://www.opensubtitles.org/subtitles/6700920/greenleaf-the-whole-book-pb
6700921	"Time Team" Raunds, Northamptonshire	2003	Dutch	nl	2016-08-03 03:36:59	888995	srt	1	time team S10 E01 dutch subs nl discovery versie	0.000	10	1	108961	tv	http://www.opensubtitles.org/subtitles/6700921/time-team-raunds-northamptonshire-nl
6700922	The Legend of Tarzan	2016	Portuguese (BR)	pb	2016-08-03 03:38:24	918940	ssa	1	The.Legend.of.Tarzan.2016.HDRip.KORSUB.x264-STUTTERSHIT-Fundo Negro	23.980	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700922/the-legend-of-tarzan-pb
6700923	"Outcasts" Episode #1.8	2011	Arabic	ar	2016-08-03 03:38:48	1712434	srt	1	 Outcast.S01E08.HDTV.x264-KILLERS	23.976	1	8	1697793	tv	http://www.opensubtitles.org/subtitles/6700923/outcasts-episode-1-8-ar
6700924	The Secret of Moonacre	2008	Turkish	tr	2016-08-03 03:43:15	396707	srt	1	 The.Secret.of.Moonacre.2008.Blu-ray.720p.DTS.x264-CHD	24.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700924/the-secret-of-moonacre-tr
6700925	"Doctor Foster" Episode #1.3	2015	Arabic	ar	2016-08-03 03:48:44	4627508	srt	1	 Doctor Foster - S01E03 - Episode 3	25.000	1	3	4602768	tv	http://www.opensubtitles.org/subtitles/6700925/doctor-foster-episode-1-3-ar
6700926	"Mr. Robot" eps2.2_init1.asec	2016	Russian	ru	2016-08-03 04:23:21	5344766	srt	1	Mr.Robot.S02E04.WEB-DLRip.XviD.Rus.Eng.Jaskier.avi	23.976	2	4	4158110	tv	http://www.opensubtitles.org/subtitles/6700926/mr-robot-eps2-2-init1-asec-ru
6700928	The Legend of Tarzan	2016	Dutch	nl	2016-08-03 04:45:32	918940	srt	1	The.Legend.of.Tarzan.2016.1080p.HDRip.KORSUB.x264.AAC2.0-STUTTERSHIT	24.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700928/the-legend-of-tarzan-nl
